Gas.cons	Age.band	Type	Floor.area.band	Loft.depth	Cavity.wall.ins	New.boiler
16000	6	Detached	3	Gr	N	N
7500	4	Bungalow	2	NA	N	N
5000	1	Mid-terrace	3	NA	N	Y
9000	3	Flat	2	Gr	Y	N
17500	1	Bungalow	2	Gr	N	Y
11000	4	Bungalow	2	Gr	N	Y
NA	3	End-terrace	2	Gr	N	N
7500	3	Semi-detached	2	Gr	Y	Y
6500	4	Bungalow	2	Gr	N	N
NA	3	Bungalow	3	Gr	N	Y
8100	6	Mid-terrace	2	NA	N	Y
40000	6	Detached	3	NA	N	N
10000	5	Bungalow	2	Gr	N	N
NA	4	End-terrace	3	Gr	N	N
18500	1	End-terrace	2	Gr	N	Y
7500	1	Mid-terrace	2	Gr	N	N
20000	4	Semi-detached	3	NA	N	N
8200	4	Flat	2	NA	N	N
18000	6	Detached	3	Gr	N	Y
5000	3	Semi-detached	2	Gr	Y	Y
15400	1	Flat	2	Gr	N	N
2500	1	Mid-terrace	2	NA	N	N
10600	6	Detached	3	Gr	N	N
16000	4	Semi-detached	3	Gr	N	N
14900	3	Bungalow	2	Gr	Y	Y
5500	5	Semi-detached	2	Le	Y	Y
11600	4	Bungalow	2	Gr	Y	N
12800	3	Semi-detached	3	Gr	Y	Y
16000	3	Bungalow	2	Gr	N	N
14000	2	Mid-terrace	2	Gr	N	N
40000	3	Bungalow	2	Le	Y	N
21000	4	Semi-detached	2	Gr	Y	N
11500	1	Flat	2	Gr	N	N
5500	3	Semi-detached	2	NA	Y	N
15400	2	Semi-detached	3	Gr	Y	N
NA	4	Flat	1	NA	N	N
13400	4	Detached	3	Gr	N	Y
9100	2	Semi-detached	3	Gr	N	Y
2000	5	Bungalow	2	Gr	N	Y
12200	4	Bungalow	2	Le	N	Y
15800	2	Semi-detached	4	Gr	N	Y
NA	3	Flat	1	NA	N	N
4500	3	End-terrace	2	Gr	Y	N
19500	3	Semi-detached	2	NA	Y	N
10400	1	Mid-terrace	2	Gr	N	Y
7000	4	Semi-detached	2	Gr	N	N
14700	4	End-terrace	2	Gr	Y	N
20500	2	Flat	2	Le	N	N
19000	5	Detached	2	Gr	N	N
19000	3	Bungalow	3	Le	Y	N
NA	5	Flat	1	NA	N	N
3500	4	Flat	2	NA	Y	Y
24500	1	Mid-terrace	3	Le	Y	N
8800	2	Bungalow	2	Gr	Y	N
16500	3	Semi-detached	2	Gr	Y	Y
9100	1	Mid-terrace	3	Gr	Y	N
17000	6	Detached	3	Gr	Y	Y
19000	1	Bungalow	2	NA	N	Y
18000	3	Semi-detached	3	Gr	Y	Y
NA	3	Semi-detached	2	Gr	N	N
16500	3	Mid-terrace	2	Gr	Y	Y
14000	4	Bungalow	3	Gr	N	Y
26000	3	Detached	3	Gr	N	N
19500	2	Mid-terrace	2	Gr	N	N
22500	2	End-terrace	2	Gr	Y	N
21000	6	Mid-terrace	3	Gr	N	Y
9900	3	Semi-detached	2	Gr	N	N
19000	3	Semi-detached	2	Gr	Y	N
9200	4	End-terrace	2	Gr	Y	N
15900	2	Mid-terrace	3	NA	N	N
10700	3	Semi-detached	2	Gr	Y	N
8700	3	Semi-detached	2	Gr	Y	Y
15900	6	Detached	3	Gr	Y	N
35000	4	Bungalow	3	Gr	N	N
15300	3	Semi-detached	2	Gr	Y	Y
11800	4	Detached	2	Gr	N	N
7000	3	Semi-detached	3	Gr	N	Y
13600	4	Bungalow	1	Gr	N	N
17500	2	End-terrace	3	NA	N	N
25000	6	Detached	3	Gr	N	N
4000	2	Mid-terrace	2	Gr	Y	N
19500	4	Semi-detached	2	Gr	N	N
12500	5	Detached	3	Gr	Y	N
17500	4	Semi-detached	3	Gr	N	Y
21000	1	Semi-detached	2	Gr	N	N
25000	5	Detached	3	NA	N	Y
9400	4	Mid-terrace	2	Gr	Y	N
NA	4	Mid-terrace	3	NA	N	N
20000	6	Detached	3	Gr	N	N
18000	4	Detached	4	Gr	N	Y
9600	6	End-terrace	2	Gr	N	N
9000	3	Semi-detached	2	Gr	N	N
10900	4	Bungalow	2	Gr	N	Y
22000	3	Semi-detached	3	NA	N	N
17000	3	Semi-detached	2	NA	N	N
3000	6	End-terrace	2	NA	N	N
4500	3	Flat	1	Gr	N	N
4000	4	Flat	1	Le	N	Y
15200	4	Mid-terrace	2	Le	N	N
18000	2	Semi-detached	2	Gr	Y	N
9500	5	Mid-terrace	2	Gr	N	Y
3000	3	Flat	1	NA	N	N
9900	5	Bungalow	3	Gr	N	Y
21500	1	Mid-terrace	4	Gr	N	N
35000	2	Semi-detached	2	Le	N	N
10900	4	Mid-terrace	2	Gr	Y	N
14000	2	Semi-detached	2	Gr	Y	N
12700	1	Bungalow	2	Gr	N	Y
1000	1	Mid-terrace	2	Gr	Y	N
10600	1	Mid-terrace	2	Gr	N	N
21500	1	Mid-terrace	3	Gr	N	Y
14800	5	Semi-detached	3	Gr	N	N
18000	5	Detached	3	Gr	N	N
NA	1	Mid-terrace	2	Gr	Y	N
30000	1	Mid-terrace	3	Gr	Y	N
NA	3	Flat	1	NA	N	N
8600	4	End-terrace	2	Gr	Y	N
13800	3	End-terrace	2	Gr	Y	Y
9100	5	Semi-detached	2	Gr	N	N
27000	6	Detached	4	Gr	N	N
9500	5	Semi-detached	2	Gr	N	N
11500	3	Bungalow	2	Gr	N	N
19000	6	Detached	2	Gr	Y	N
9500	4	Flat	2	NA	N	N
2500	3	End-terrace	2	Gr	N	Y
4000	6	End-terrace	2	Gr	N	N
9800	3	Semi-detached	2	Gr	Y	Y
4500	4	Flat	1	NA	N	N
2500	4	Flat	2	NA	Y	Y
13700	2	Semi-detached	2	Gr	Y	Y
30000	3	Detached	4	NA	N	Y
13100	6	Detached	3	Gr	N	N
NA	3	Semi-detached	2	Gr	Y	N
21000	1	Mid-terrace	3	Gr	Y	N
1500	2	Semi-detached	2	Gr	Y	N
21000	5	Semi-detached	2	Gr	N	Y
8800	2	Mid-terrace	2	Gr	Y	Y
26000	3	Semi-detached	3	Gr	Y	N
16500	4	Mid-terrace	3	NA	N	N
7500	3	End-terrace	2	Gr	Y	N
17500	5	Semi-detached	2	Le	Y	N
6000	3	Bungalow	1	Gr	N	Y
14500	3	Mid-terrace	2	Gr	N	N
7000	3	Semi-detached	2	Gr	N	N
19500	2	Semi-detached	2	Gr	N	Y
9200	2	Semi-detached	3	Gr	Y	N
12500	3	End-terrace	2	NA	N	N
14600	3	Mid-terrace	2	Le	Y	N
8800	3	Semi-detached	2	Le	Y	N
NA	6	Semi-detached	3	NA	N	N
13300	4	Semi-detached	2	Le	Y	Y
16000	2	Semi-detached	3	NA	N	Y
7000	3	Semi-detached	2	NA	Y	Y
25000	3	Semi-detached	2	Gr	Y	N
NA	6	Flat	2	NA	N	N
NA	2	Semi-detached	3	Gr	N	Y
11700	2	End-terrace	2	Gr	Y	Y
12600	3	Semi-detached	3	Gr	Y	Y
2000	3	End-terrace	2	Gr	N	N
8700	3	Mid-terrace	2	Gr	N	N
13400	3	Bungalow	2	Gr	Y	Y
17000	1	Detached	4	Gr	N	N
3500	6	Flat	2	Gr	N	Y
15100	3	End-terrace	2	Gr	N	N
12500	2	Mid-terrace	2	Gr	Y	Y
7500	5	Semi-detached	2	Gr	Y	N
22000	2	Semi-detached	3	NA	N	N
16500	3	Semi-detached	2	Gr	N	N
20000	4	Detached	3	Gr	Y	N
6500	4	Mid-terrace	2	Gr	N	N
21500	5	Bungalow	2	Gr	N	N
9200	6	Mid-terrace	3	Gr	N	N
10600	3	Semi-detached	2	Gr	N	N
11300	2	Semi-detached	2	Gr	N	N
20000	1	Semi-detached	3	Gr	N	N
13300	3	End-terrace	2	Gr	N	N
14100	4	Semi-detached	2	Le	N	Y
13800	3	Semi-detached	3	Gr	N	Y
4000	4	Flat	1	NA	N	N
NA	3	Flat	1	NA	N	N
500	2	Flat	1	Gr	N	N
18000	3	Mid-terrace	2	Gr	Y	N
8600	3	Mid-terrace	2	Gr	Y	N
13400	3	Mid-terrace	2	Gr	Y	Y
12700	4	Semi-detached	2	Gr	Y	Y
6000	3	End-terrace	2	Le	Y	Y
19500	3	Mid-terrace	2	Gr	N	Y
35000	1	Semi-detached	3	Gr	N	N
10600	1	End-terrace	2	Gr	Y	N
18000	2	Semi-detached	3	Gr	N	N
7000	3	Semi-detached	2	Gr	N	Y
12400	6	Detached	2	Gr	N	N
24000	2	Semi-detached	3	Gr	N	N
8000	4	Semi-detached	2	Gr	Y	N
9200	4	Flat	2	NA	N	Y
17000	3	Semi-detached	2	Gr	Y	Y
7500	4	Bungalow	2	Gr	Y	Y
11500	3	Semi-detached	3	Gr	Y	N
12800	3	Detached	3	Gr	Y	N
12600	4	Semi-detached	2	Gr	N	N
6000	5	Semi-detached	2	Gr	N	Y
NA	4	Semi-detached	2	Gr	N	Y
10200	4	End-terrace	2	Gr	N	N
19000	3	Semi-detached	3	Gr	Y	N
14400	3	Semi-detached	2	Gr	N	N
24000	3	Bungalow	3	Gr	Y	N
18000	3	Semi-detached	3	Gr	Y	N
NA	2	Mid-terrace	3	NA	N	N
11700	5	Bungalow	2	Le	Y	N
26000	2	Mid-terrace	4	Gr	Y	N
9800	5	Semi-detached	2	Gr	N	N
8700	4	Semi-detached	2	Gr	N	N
8700	3	End-terrace	2	Gr	Y	N
17500	5	Detached	3	Le	N	N
3500	3	Flat	1	NA	N	Y
9300	3	Semi-detached	2	Gr	Y	N
7000	3	Bungalow	2	Gr	Y	N
4000	1	Mid-terrace	3	Gr	N	N
9500	1	Mid-terrace	3	NA	N	N
8600	4	Bungalow	2	Gr	N	N
10900	4	Mid-terrace	2	Gr	N	N
14800	2	Mid-terrace	2	Gr	N	N
6500	6	Flat	1	NA	N	Y
14000	5	Detached	3	Gr	N	N
8000	3	Mid-terrace	2	NA	N	N
6000	6	Flat	2	NA	N	N
14000	4	End-terrace	2	Gr	N	Y
23000	2	Semi-detached	2	Gr	N	N
0	1	Flat	2	Gr	N	N
17000	2	Semi-detached	2	Gr	N	N
7500	4	Semi-detached	3	Le	Y	Y
12200	4	End-terrace	2	Gr	N	N
6500	5	Bungalow	2	Gr	N	Y
11700	4	Detached	2	Gr	Y	N
14200	2	Semi-detached	2	Gr	Y	N
7500	1	Mid-terrace	3	Gr	Y	N
11300	3	Semi-detached	2	Gr	Y	N
5500	2	Semi-detached	2	Gr	N	N
10300	5	Detached	2	Le	N	Y
13000	3	Bungalow	1	Gr	N	N
4500	3	Semi-detached	2	Gr	Y	N
35000	5	Detached	4	Gr	N	N
45000	4	Detached	3	Le	N	Y
15800	3	Semi-detached	2	Le	Y	N
NA	6	Detached	3	Gr	N	N
16500	3	Bungalow	2	Gr	N	Y
12100	1	Bungalow	2	Gr	Y	N
17500	2	Semi-detached	2	Gr	Y	Y
7000	3	Semi-detached	3	Gr	Y	N
24500	2	Semi-detached	2	Gr	Y	Y
2000	2	Semi-detached	2	Gr	Y	N
24000	2	Semi-detached	3	Gr	N	N
17000	2	Semi-detached	3	Gr	Y	N
21000	3	Detached	4	Gr	N	N
14700	3	Semi-detached	2	Gr	Y	N
16500	2	Mid-terrace	2	Gr	N	N
18000	3	Bungalow	4	Gr	N	N
16000	5	Detached	3	Gr	Y	Y
8000	1	Mid-terrace	2	Gr	Y	N
17000	3	Semi-detached	2	Gr	N	Y
14800	3	End-terrace	2	Gr	Y	N
8000	3	Flat	2	NA	N	Y
16500	5	Detached	3	Gr	N	N
33000	2	Semi-detached	3	Gr	N	N
29000	1	Mid-terrace	3	NA	Y	N
5500	2	Semi-detached	2	Gr	Y	N
8200	4	Mid-terrace	2	Gr	Y	N
13300	2	Bungalow	1	Gr	Y	N
17500	2	Semi-detached	3	Gr	N	Y
23500	6	Detached	3	Gr	N	N
13000	2	Semi-detached	2	NA	Y	Y
14400	5	Semi-detached	3	Gr	N	N
17500	3	Semi-detached	3	Gr	Y	N
6000	4	Flat	1	Gr	N	Y
17000	6	Semi-detached	2	Gr	N	N
17000	3	Semi-detached	2	Gr	Y	N
6500	3	Bungalow	2	NA	N	Y
7000	2	Mid-terrace	2	Gr	Y	N
18000	3	Semi-detached	2	Gr	N	N
19500	3	Flat	1	NA	N	N
12500	3	Mid-terrace	2	Gr	Y	N
13600	3	Mid-terrace	2	Gr	Y	N
10300	1	Semi-detached	2	Gr	N	N
8100	3	Flat	2	Gr	N	Y
7500	2	Semi-detached	2	Gr	N	N
15200	5	Bungalow	2	Gr	N	Y
5500	4	Flat	2	NA	Y	N
11100	3	Bungalow	2	Gr	N	N
17000	3	Bungalow	2	Gr	N	N
13700	3	Flat	2	NA	Y	Y
12000	2	Mid-terrace	2	NA	N	N
500	5	Mid-terrace	2	Gr	N	N
28000	2	End-terrace	4	Gr	N	N
7000	5	Flat	1	Gr	Y	Y
11900	3	Semi-detached	2	Le	N	Y
11200	4	Bungalow	1	Gr	Y	N
19500	1	Mid-terrace	3	Gr	N	N
8000	3	End-terrace	2	Gr	Y	Y
22000	3	Semi-detached	3	Gr	Y	N
16500	4	Bungalow	3	Gr	Y	Y
4500	5	Mid-terrace	3	NA	N	N
15600	1	Mid-terrace	3	NA	N	N
11900	1	Bungalow	2	Gr	N	Y
26000	5	Detached	3	Gr	Y	N
5500	4	Flat	1	NA	N	N
19500	1	Bungalow	2	Gr	N	N
12200	4	End-terrace	3	Gr	N	Y
10200	3	Mid-terrace	2	Le	N	Y
9600	5	Semi-detached	2	Gr	N	N
13800	3	Mid-terrace	2	NA	N	N
9000	6	Semi-detached	2	Gr	N	Y
30000	1	Semi-detached	3	NA	N	N
8400	4	Bungalow	2	Gr	Y	Y
14700	1	Mid-terrace	2	Gr	N	Y
10200	5	Flat	1	Gr	N	N
23500	2	Semi-detached	3	Gr	N	Y
16000	2	Semi-detached	3	Gr	N	Y
13000	6	Detached	3	Gr	N	N
17000	4	Flat	2	NA	Y	N
17000	4	Detached	2	Gr	N	Y
18500	2	Semi-detached	3	Le	Y	Y
10400	2	Semi-detached	2	Gr	Y	Y
19000	5	Bungalow	3	Gr	N	N
NA	3	Mid-terrace	2	Gr	N	N
12000	5	Bungalow	2	Gr	N	N
25000	4	Bungalow	4	Gr	Y	N
11800	4	Semi-detached	2	Gr	N	Y
23000	4	Semi-detached	3	NA	N	N
NA	4	Flat	1	NA	N	N
14900	3	Semi-detached	3	Gr	Y	Y
26000	2	Semi-detached	3	Gr	N	N
2500	3	Flat	1	NA	N	N
9700	4	Bungalow	2	Gr	N	N
20500	6	Detached	4	Gr	N	Y
24000	3	Detached	4	Le	N	N
17500	5	Detached	3	Gr	Y	N
15700	3	Semi-detached	2	Gr	N	N
10700	4	Semi-detached	2	Gr	N	N
7500	4	Semi-detached	2	Gr	Y	N
8100	3	Mid-terrace	2	NA	Y	N
10000	6	Bungalow	2	Gr	N	N
8000	4	Semi-detached	2	Gr	Y	N
15100	3	Semi-detached	3	Gr	N	N
7000	6	Detached	3	Gr	N	Y
11800	3	Semi-detached	2	Gr	Y	N
20000	5	Detached	3	Gr	Y	N
18500	4	End-terrace	3	Le	N	N
4000	4	Mid-terrace	2	Gr	Y	N
40000	1	Bungalow	4	NA	N	Y
20500	3	Semi-detached	2	Gr	Y	N
20500	5	Semi-detached	3	NA	N	N
5000	3	Bungalow	1	Gr	N	Y
8800	1	Mid-terrace	2	Gr	Y	N
8700	4	Semi-detached	2	Gr	N	Y
3000	1	End-terrace	2	Gr	N	Y
20000	3	Semi-detached	3	Le	Y	N
20500	2	Semi-detached	2	NA	Y	Y
10800	6	Semi-detached	2	Le	N	N
4500	3	Flat	1	NA	N	Y
9300	1	End-terrace	2	Gr	N	N
9000	3	Bungalow	2	Gr	N	Y
35000	2	Semi-detached	3	Gr	N	N
18500	6	Detached	3	Gr	Y	N
23000	3	Semi-detached	3	Gr	Y	N
13000	4	Semi-detached	2	Gr	N	N
17500	2	Semi-detached	3	Gr	N	N
13100	3	Semi-detached	2	NA	N	Y
16500	1	Semi-detached	3	Gr	N	N
18000	2	Semi-detached	2	Gr	Y	N
22000	2	Semi-detached	3	Gr	Y	N
13600	3	End-terrace	2	Gr	N	N
16500	6	Detached	2	Gr	Y	N
27000	2	Semi-detached	3	NA	N	Y
10800	3	Mid-terrace	2	Gr	N	Y
13900	4	Mid-terrace	3	NA	N	Y
13800	3	Bungalow	2	Le	Y	N
NA	6	Semi-detached	2	Gr	N	N
9300	2	Semi-detached	2	Gr	N	N
10400	3	Semi-detached	2	NA	N	Y
6500	3	Flat	1	Gr	N	N
2500	4	Mid-terrace	2	Gr	Y	N
9400	3	Semi-detached	2	Gr	Y	N
12300	3	Semi-detached	2	Gr	N	N
10900	1	Bungalow	2	Gr	N	N
NA	3	Detached	4	NA	Y	N
500	3	Flat	2	Gr	N	N
20500	4	Detached	3	Gr	N	Y
12100	4	Mid-terrace	3	Gr	Y	N
5000	4	Mid-terrace	3	Gr	N	Y
23000	2	Semi-detached	3	NA	N	N
11100	4	Semi-detached	2	Gr	N	Y
11700	2	Mid-terrace	3	Gr	N	N
12200	5	Semi-detached	2	Gr	Y	N
34000	5	Detached	4	Le	N	Y
NA	4	Flat	1	NA	N	N
11100	3	Semi-detached	2	Gr	N	N
13400	4	Bungalow	2	Gr	N	N
22500	4	End-terrace	3	Gr	N	Y
16500	2	Semi-detached	2	Le	N	Y
NA	4	Mid-terrace	2	Gr	N	N
10100	3	Semi-detached	2	Gr	Y	N
NA	1	Semi-detached	3	Gr	N	N
11900	3	Bungalow	2	Gr	N	N
29000	5	Detached	4	Gr	N	Y
7500	2	Semi-detached	2	Le	N	N
8600	1	Semi-detached	2	Gr	Y	Y
19000	2	Semi-detached	3	Gr	N	N
10100	5	Semi-detached	2	Gr	N	N
25000	1	Semi-detached	2	Gr	Y	N
6500	4	Mid-terrace	2	Gr	Y	N
9500	2	Semi-detached	3	Gr	Y	Y
22000	2	Semi-detached	2	Gr	N	N
10900	2	Semi-detached	3	Gr	Y	N
9500	2	Semi-detached	3	Gr	Y	N
7000	4	Bungalow	1	Gr	N	N
7000	3	End-terrace	2	Gr	N	N
22000	4	Semi-detached	3	Le	N	N
14700	4	Bungalow	2	Gr	N	Y
18500	5	Detached	3	Gr	Y	N
2500	3	Mid-terrace	2	Gr	N	Y
12900	3	Semi-detached	3	Gr	Y	N
NA	4	Semi-detached	2	NA	Y	N
16500	3	Semi-detached	2	Gr	Y	N
12900	3	Semi-detached	2	Gr	N	Y
5500	1	Flat	1	Gr	N	N
17000	4	Bungalow	2	Gr	N	N
17000	4	End-terrace	2	Gr	Y	Y
10700	5	End-terrace	2	Le	N	N
15900	3	Semi-detached	2	Le	N	N
13100	4	Detached	2	Gr	Y	Y
NA	6	Detached	4	Gr	N	N
8600	3	Bungalow	1	Gr	N	N
23000	1	Bungalow	2	Gr	Y	Y
14100	4	Semi-detached	2	Gr	Y	N
NA	6	End-terrace	2	Gr	N	N
11900	3	Semi-detached	2	Gr	N	N
9700	4	Flat	1	NA	N	N
6500	4	Flat	1	Gr	N	N
24500	2	Semi-detached	3	Gr	Y	N
15800	3	Semi-detached	2	Gr	N	Y
12400	1	Mid-terrace	2	Le	Y	Y
34000	6	Detached	4	Gr	N	Y
NA	6	End-terrace	3	Gr	N	N
25000	6	Detached	4	Le	N	N
6500	6	Semi-detached	2	Gr	Y	N
9800	4	Semi-detached	2	Gr	Y	Y
10000	1	Flat	1	NA	N	Y
4000	1	End-terrace	3	Gr	N	N
7500	1	Mid-terrace	2	Gr	Y	N
13800	5	Detached	3	Gr	Y	Y
NA	5	Flat	1	Gr	Y	N
5000	3	Flat	1	Gr	N	Y
21000	1	End-terrace	2	Gr	N	N
35000	3	Bungalow	3	Gr	Y	N
19500	6	Detached	3	NA	N	Y
19000	2	Semi-detached	3	Gr	N	N
21000	3	Semi-detached	2	Gr	Y	N
5500	3	Flat	2	NA	N	N
6000	3	Flat	1	Gr	Y	N
22000	4	End-terrace	3	Gr	Y	N
16500	2	Semi-detached	3	Gr	N	Y
19500	5	Semi-detached	3	Gr	N	N
21000	6	Detached	3	Le	N	Y
13100	4	Semi-detached	2	Gr	N	N
22500	3	Semi-detached	3	Gr	N	Y
6500	5	End-terrace	2	Gr	N	N
11600	4	Semi-detached	2	Gr	N	N
2000	2	Bungalow	2	Le	Y	N
9400	1	Flat	2	Gr	Y	Y
15700	3	Semi-detached	3	Gr	Y	N
21500	5	Mid-terrace	3	Gr	N	Y
9600	2	Semi-detached	2	Gr	N	N
11700	5	Detached	2	Le	N	N
6000	2	Bungalow	2	Gr	N	N
16500	2	Semi-detached	2	Gr	N	N
11700	3	Mid-terrace	2	NA	N	N
13800	3	Semi-detached	2	Gr	N	N
NA	1	Flat	1	NA	Y	N
13300	4	Detached	3	Gr	Y	Y
13300	3	Semi-detached	2	Gr	N	N
7000	6	Bungalow	2	Gr	N	Y
7500	4	Mid-terrace	2	Gr	Y	N
20000	6	Detached	3	Gr	Y	Y
25000	5	Detached	4	Gr	N	N
19000	1	Semi-detached	4	NA	N	N
14000	4	Semi-detached	2	Le	Y	N
15500	5	Bungalow	2	Gr	N	Y
14200	3	Semi-detached	2	Gr	N	N
10700	2	Mid-terrace	2	NA	N	Y
21000	4	End-terrace	3	Gr	N	N
18500	6	Bungalow	4	Gr	N	N
5000	2	Semi-detached	2	Gr	N	N
NA	4	Flat	1	NA	N	N
9900	1	Mid-terrace	2	Gr	N	N
8000	4	Semi-detached	2	Gr	Y	Y
6500	3	Semi-detached	2	Gr	N	Y
19500	4	Mid-terrace	3	Le	Y	Y
11500	6	Semi-detached	2	Gr	N	N
13700	3	Mid-terrace	2	Gr	Y	N
22000	4	Detached	2	Gr	Y	N
7500	3	Semi-detached	3	Gr	Y	N
15900	2	Mid-terrace	2	Gr	N	N
14500	5	Detached	2	Le	N	N
9400	4	Mid-terrace	2	Gr	N	Y
14900	3	Semi-detached	4	Gr	Y	Y
20000	6	Detached	3	Le	N	N
14100	2	Semi-detached	3	NA	Y	Y
6000	2	Mid-terrace	3	Gr	Y	N
12900	2	Semi-detached	2	Gr	Y	N
9600	6	Semi-detached	2	Gr	N	N
7500	4	Bungalow	1	Gr	N	Y
11000	3	Flat	1	NA	Y	Y
9800	5	Mid-terrace	2	Gr	Y	Y
11800	2	Semi-detached	3	Gr	Y	Y
12200	6	Semi-detached	3	Gr	N	N
18500	1	Mid-terrace	2	Gr	N	N
15300	5	Detached	3	Gr	Y	Y
8700	6	Mid-terrace	2	Gr	N	N
10600	6	Semi-detached	2	Gr	N	N
500	2	Bungalow	2	Gr	Y	N
10600	4	Mid-terrace	3	NA	N	Y
NA	6	End-terrace	2	Gr	N	N
16500	5	Detached	4	Gr	N	N
1500	1	Bungalow	2	Gr	N	N
3000	4	Flat	2	Gr	N	Y
28000	2	Semi-detached	2	Gr	N	N
15100	1	Mid-terrace	3	Gr	N	Y
7000	3	Mid-terrace	2	Gr	Y	Y
28000	2	Semi-detached	2	Gr	Y	N
10400	3	Semi-detached	2	Gr	N	Y
20000	4	Detached	3	Gr	N	N
8600	4	Mid-terrace	2	Gr	N	N
7000	4	Bungalow	2	Gr	Y	N
20500	3	Semi-detached	2	Gr	N	Y
27000	4	Semi-detached	3	Gr	N	N
12200	3	Mid-terrace	2	Gr	Y	Y
16500	4	Semi-detached	3	Le	N	N
10400	5	Semi-detached	2	Gr	N	N
19500	1	Semi-detached	3	Gr	N	N
8700	2	Mid-terrace	2	Gr	N	Y
12100	5	Semi-detached	2	Gr	Y	N
12700	4	Mid-terrace	2	Le	Y	Y
NA	6	Mid-terrace	4	Gr	N	N
11900	3	End-terrace	2	Gr	Y	N
7500	3	Mid-terrace	2	Le	N	Y
6000	1	Bungalow	2	NA	N	N
15500	4	Semi-detached	2	Gr	N	N
12100	4	Semi-detached	3	Gr	N	N
15700	5	Detached	3	Gr	N	N
3500	2	Mid-terrace	2	Le	N	N
1500	3	Semi-detached	2	Gr	Y	N
7500	3	Semi-detached	3	Gr	Y	N
13200	3	Semi-detached	3	Gr	Y	Y
